950970,284714
一个,0.171129624816483,0.0163255565428304
佰草,0.00100802910991381,1.50092456953483E-06
世家,0.0010220782961147,0.00031669508417185
推荐,0.0346488054679433,0.00772525875939579
可以,0.0976172580203292,0.0166182368338897
精油,0.00380030486734056,0.000279171969933479
用了,0.0157456254346467,0.000678417905429745
没有,0.105316212058417,0.00754814966019068
神器,0.0141756288766973,0.000594366129535794
效果,0.0136452720976137,0.00222136836291155
不是,0.094248965628666,0.00489151317211402
自己,0.16808446370744,0.0124756850219735
就是,0.0961912656209389,0.00771175043826997
无效,0.00131359890978315,0.000126077663840926
每天,0.0270798064022142,0.00476093273456449
产品,0.00862620032734604,0.00172306140582599
分享,0.0350527195712188,0.0506081746355755
现在,0.0540296578320701,0.00752413486707812
退款,0.00119418082707559,4.05249633774405E-05
什么,0.100778324915529,0.0126587978194568
女人,0.0353407278883371,0.00431665906198218
这个,0.0581706554647822,0.0170054753728297
这款,0.0111972014021088,0.00162400038423669
你的,0.0877758030866062,0.00608624912946375
真的,0.0477637207864734,0.00334856271463221
精华,0.012623193801499,0.000457781993708124
如果,0.0574260485961351,0.00439470713959799
的人,0.106851085650864,0.00743558031747556
承诺,0.00596739183882774,0.000361722821257895
那么,0.0455053141046805,0.00235645157416969
我的,0.0713066445626137,0.00996163636800269
不要,0.0686056885154927,0.00555041905813981
因为,0.0702248572251452,0.00352266996469825
皮肤,0.0198198894329046,0.00191668067529598
怎么,0.0378379707355451,0.00677217165774117
知道,0.0670637903299451,0.00430315074085637
时候,0.0886011927759085,0.00509563891357076
不用,0.0189242538125979,0.00196020748781249
试试,0.0129428127875693,0.00298533896880478
脸上,0.0106036232851212,0.000427763502317428
不到,0.0213231523563998,0.00196170841238203
地址,0.0372795155840598,0.0136884320741577
安全,0.010220782961147,0.0024690209168848
有效,0.00828550756197447,0.00111368603059485
男人,0.0265529619196808,0.00342661079224802
朋友,0.0472087779315383,0.00671513652409885
需要,0.0371917081703042,0.00370728368675104
唯一,0.00801857302415758,0.000840517758939507
一次,0.028024614174224,0.00584309934919911
都是,0.0448133916842867,0.00489151317211402
正品,0.00321726364000365,0.0187720635911722
了一,0.0366227161291682,0.0131976297399198
任何,0.018246380578405,0.00112269157801206
也不,0.0456598551528903,0.00234444417761341
生长,0.00551430558384906,0.000442772748012776
分钟,0.0142669485870031,0.00648999783866862
我们,0.105235429237761,0.00928772123628155
姐妹,0.00877020448590515,0.000516318051919983
鼻子,0.00233567720589785,0.000318196008741385
打造,0.011927759084555,0.00797291131336903
眼睛,0.0128514930772635,0.00148741624840902
坚持,0.0194265122192797,0.00144989313417065
一直,0.0303673159732223,0.00249753848370596
手术,0.00181936961301517,0.00022663960999976
发现,0.0314069557520881,0.00457331716337264
天猫,0.00255695188856186,0.000412754256622079
头发,0.00829955674817536,0.000960591724502293
已经,0.0305745414696854,0.00416506568045916
增高,0.00155945966829871,0.00393542422132033
老师,0.00798696235520558,0.0017665882183425
起来,0.0332614483306055,0.0056404745323119
都不,0.0340271289785539,0.001529442136356
化妆,0.0054581088390455,0.000842018683509042
还是,0.049147565627261,0.00602170937297375
一样,0.030774742373048,0.00360822266516174
使用,0.0153171252555196,0.00503109915708076
副作,0.00356849329502589,3.6022189668836E-05
喜欢,0.0504997997990966,0.0435027977233976
美白,0.0136241983183124,0.00154895415575995
这么,0.0266442816299866,0.00386638169112173
尼玛,0.00384947701904367,0.00114070267284647
很多,0.0371039007565487,0.00261911337383828
涂抹,0.00436578461192635,0.00035722004754929
有一,0.0543457645215901,0.0038648807665522
羡慕,0.00895986849961716,0.000424761653178358
看到,0.0284074544981982,0.00365325040224778
闺蜜,0.00705269147284644,0.000460783842847194
的心,0.0407812752446315,0.00238046636728225
妹子,0.00681385530743132,0.000702432698542302
轮廓,0.000772705241048912,0.000145589683244879
瘦脸,0.000842951172053359,0.000106565644436973
还在,0.00885449960311049,0.00115571191854182
全网,0.0104596191265621,0.00836165077687856
