2000,1000
一个,0.324392336288247,0.160864345738295
佰草,0.285673434372319,0
世家,0.27892479267944,0
推荐,0.259937088933371,0.0348139255702281
可以,0.246668573062625,0.0372148859543818
精油,0.187303402916786,0
用了,0.163969116385473,0.00840336134453781
没有,0.154932799542465,0.0552220888355342
神器,0.153788961967401,0.00240096038415366
效果,0.148527309122105,0.00360144057623049
不是,0.147040320274521,0.0480192076830732
自己,0.144409493851873,0.0744297719087635
就是,0.143494423791822,0.0516206482593037
无效,0.142522161853017,0
每天,0.138633114097798,0.0168067226890756
产品,0.133543036888762,0.00600240096038415
分享,0.133485845010009,0.0468187274909964
现在,0.13297111810123,0.0396158463385354
退款,0.132856734343723,0
什么,0.132456391192451,0.078031212484994
女人,0.13102659422362,0.00480192076830732
这个,0.129082070346011,0.0528211284513806
这款,0.123248498713183,0
你的,0.110323134114956,0.0264105642256903
真的,0.107577923934801,0.0288115246098439
精华,0.107520732056048,0
如果,0.107406348298542,0.0300120048019208
的人,0.1048899056334,0.0468187274909964
承诺,0.103917643694595,0
那么,0.100486130969402,0.0240096038415366
我的,0.094595367457821,0.0228091236494598
不要,0.0934515298827567,0.0252100840336134
因为,0.0907063197026022,0.0336134453781513
皮肤,0.0905919359450958,0
怎么,0.0887046039462396,0.0276110444177671
知道,0.0879611095224478,0.0324129651860744
时候,0.0871604232199028,0.0528211284513806
不用,0.0863025450386045,0.00360144057623049
试试,0.0860737775235916,0.00720288115246098
脸上,0.0855590506148127,0.00240096038415366
不到,0.085101515584787,0.0204081632653061
地址,0.0848727480697741,0.0180072028811525
安全,0.0843580211609951,0.0180072028811525
有效,0.0824134972833858,0
男人,0.0805833571632828,0.00360144057623049
朋友,0.0794395195882185,0.0288115246098439
需要,0.0764655418930512,0.0132052821128451
唯一,0.0725764941378324,0.00360144057623049
一次,0.0708607377752359,0.0252100840336134
都是,0.0708035458964827,0.0228091236494598
正品,0.0697740920789248,0
了一,0.0695453245639119,0.0384153661464586
任何,0.0676579925650558,0.00960384153661465
也不,0.0674292250500429,0.0180072028811525
生长,0.066399771232485,0
分钟,0.065885044323706,0.0132052821128451
我们,0.065885044323706,0.0696278511404562
姐妹,0.0647412067486417,0
鼻子,0.0639977123248499,0
打造,0.0638261366885902,0
眼睛,0.063768944809837,0.00480192076830732
坚持,0.0631398341435516,0.00960384153661465
一直,0.0629110666285388,0.014405762304922
手术,0.0628538747497855,0
发现,0.0625107234772662,0.0312124849939976
天猫,0.0614240777809551,0.00240096038415366
头发,0.0611953102659422,0.00120048019207683
已经,0.0610809265084358,0.0264105642256903
增高,0.0610237346296826,0
老师,0.0606805833571633,0.0156062424969988
起来,0.059822705175865,0.0336134453781513
都不,0.0588504432370603,0.0120048019207683
化妆,0.0587360594795539,0.00120048019207683
还是,0.0587360594795539,0.0372148859543818
一样,0.0581641406920217,0.0252100840336134
使用,0.0578209894195024,0.00480192076830732
副作,0.057706605661996,0
喜欢,0.0576494137832428,0.0312124849939976
美白,0.0576494137832428,0
这么,0.0572490706319703,0.0336134453781513
尼玛,0.0568487274806977,0.00240096038415366
很多,0.0565627680869317,0.0108043217286915
涂抹,0.0564483843294252,0
有一,0.0556476980268802,0.0168067226890756
羡慕,0.055075779239348,0.00120048019207683
看到,0.055075779239348,0.0324129651860744
闺蜜,0.0549042036030884,0.00960384153661465
的心,0.0549042036030884,0.0132052821128451
妹子,0.0545610523305691,0.00240096038415366
轮廓,0.0535315985130112,0
瘦脸,0.0533600228767515,0
还在,0.0533600228767515,0.00480192076830732
全网,0.0533600228767515,0
保证,0.0530740634829854,0
秘密,0.0527881040892193,0.00360144057623049
的大,0.0525593365742065,0.00840336134453781
疗程,0.0519302259079211,0
我是,0.0519302259079211,0.0168067226890756
美容,0.0513011152416357,0.00360144057623049
明星,0.0513011152416357,0
整形,0.0510723477266228,0
人的,0.050328853302831,0.0192076830732293
增长,0.0502716614240778,0
排毒,0.0499285101515585,0
万人,0.0496997426365456,0.00120048019207683
拥有,0.049528167000286,0.00600240096038415
问题,0.0493565913640263,0.021608643457383
别人,0.0490706319702602,0.0264105642256903
斑点,0.0487274806977409,0
到了,0.0485559050614813,0.0180072028811525
其实,0.0483271375464684,0.0156062424969988
最新,0.0474692593651701,0.0108043217286915
只要,0.0471832999714041,0.00480192076830732
美丽,0.0469545324563912,0.00960384153661465
科技,0.0467829568201315,0.00600240096038415
方法,0.0467829568201315,0.0120048019207683
竟然,0.046382613668859,0.00840336134453781
天然,0.0462110380325994,0
植物,0.0456963111238204,0.00120048019207683
睫毛,0.0455247354875608,0
必须,0.0451815842150415,0.00600240096038415
高端,0.0446096654275093,0
在用,0.0443808979124964,0
鼻梁,0.0440377466399771,0
好看,0.0440377466399771,0.00840336134453781
大眼,0.043751787246211,0
轻松,0.0432942522161853,0.00240096038415366
美眼,0.0431226765799256,0
一周,0.0431226765799256,0.00600240096038415
人士,0.0431226765799256,0.00120048019207683
为小,0.0431226765799256,0
一定,0.0426079496711467,0.0228091236494598
妊娠,0.0418072633686017,0
吃饭,0.0417500714898484,0.00360144057623049
抢购,0.0414069202173291,0
各种,0.0411781527023163,0.0156062424969988
祛痘,0.0407778095510438,0
祛斑,0.0402630826422648,0
身高,0.0402630826422648,0.00240096038415366
永远,0.0402058907635116,0.014405762304922
研究,0.0399199313697455,0.00960384153661465
链接,0.0396911638547326,0.00120048019207683
隆鼻,0.0396339719759794,0
只是,0.0394623963397198,0.0132052821128451
相信,0.0391192450672005,0.00840336134453781
今日,0.0388904775521876,0.0192076830732293
正常,0.0388904775521876,0.00720288115246098
是我,0.0388904775521876,0.0132052821128451
秒杀,0.0387760937946812,0
就能,0.0386045181584215,0.00960384153661465
明显,0.0383757506434086,0.00120048019207683
丰胸,0.038204175007149,0
按摩,0.0381469831283958,0.00120048019207683
科学,0.0380325993708893,0.00480192076830732
厘米,0.0380325993708893,0.00120048019207683
爱情,0.0380325993708893,0.00960384153661465
毒素,0.0378610237346297,0
让你,0.0378610237346297,0.0108043217286915
痘痘,0.0378038318558765,0
幸福,0.0377466399771232,0.0108043217286915
但是,0.03768944809837,0.014405762304922
韩国,0.03768944809837,0.00840336134453781
世界,0.0376322562196168,0.0360144057623049
个人,0.0375178724621104,0.021608643457383
以前,0.0374606805833572,0.00480192076830732
强效,0.0374034887046039,0
自信,0.0372319130683443,0.00480192076830732
大的,0.0371175293108379,0.014405762304922
开始,0.0365456105233057,0.0288115246098439
修复,0.0364312267657993,0.00120048019207683
脸部,0.036374034887046,0.00120048019207683
活动,0.0362596511295396,0.00840336134453781
你们,0.0362024592507864,0.0312124849939976
好用,0.0360308836145267,0.00360144057623049
绝对,0.0358593079782671,0.00480192076830732
无数,0.0358593079782671,0.00480192076830732
紧致,0.0358021160995139,0
痘印,0.0356305404632542,0
来的,0.0355161567057478,0.0120048019207683
以为,0.0354589648269946,0.0108043217286915
肌肤,0.0350014297969688,0
漂亮,0.0349442379182156,0
眼圈,0.0349442379182156,0
一瓶,0.0347154704032027,0
变大,0.0343723191306834,0
你是,0.0341435516156706,0.00360144057623049
完全,0.0339147841006577,0.0120048019207683
粉嫩,0.0335144409493852,0
简直,0.0333428653131255,0.014405762304922
解决,0.0333428653131255,0.00600240096038415
终于,0.0333428653131255,0.0132052821128451
