[Header] 2014-05-11 00:01:44,039 [10] INFO  BayesClassify.Program [(null)] - learn start
[Header] 2014-05-11 00:10:21,929 [9] INFO  BayesClassify.Program [(null)] - learn start
[Header] 2014-05-11 00:13:09,089 [8] INFO  BayesClassify.Program [(null)] - learn start
2014-05-11 00:14:23,779 [8] INFO  BayesClassify.Program [(null)] - 74.6347254秒
2014-05-11 00:14:23,780 [8] INFO  BayesClassify.Program [(null)] - learn end
[Footer] [Header] 2014-05-11 00:15:07,910 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 突然:0.942196531791908
2014-05-11 00:15:07,956 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 发现:0.976744186046512
2014-05-11 00:15:07,957 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 自己:0.976402321083172
2014-05-11 00:15:07,957 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 速度:0.987903225806452
2014-05-11 00:15:07,957 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 已经:0.979816513761468
2014-05-11 00:15:07,958 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 最终P=0.999999991095487
2014-05-11 00:15:07,959 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - -----------垃圾的微博------------
2014-05-11 00:15:07,959 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 知道:0.983365323096609
2014-05-11 00:15:07,960 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 是我:0.985507246376812
2014-05-11 00:15:07,960 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 我的:0.988643156007173
2014-05-11 00:15:07,961 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 我想:0.978378378378378
2014-05-11 00:15:07,962 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 我在:0.748603351955307
2014-05-11 00:15:07,962 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 最终P=0.999999978792094
2014-05-11 00:15:07,962 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - -----------垃圾的微博------------
2014-05-11 00:15:07,963 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 一条真实的没有任何维和词语的微博
2014-05-11 00:15:07,964 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 分享:0.983565107458913
2014-05-11 00:15:07,965 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 最终P=0.983565107458913
2014-05-11 00:15:07,965 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - -----------垃圾的微博------------
2014-05-11 00:15:07,966 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 一个:0.977084769124742
2014-05-11 00:15:07,967 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 个人:0.973293768545994
2014-05-11 00:15:07,967 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 不再:1
2014-05-11 00:15:07,967 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 就算:0.996389891696751
2014-05-11 00:15:07,968 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 看不:1
2014-05-11 00:15:07,968 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 在乎:0.99537037037037
2014-05-11 00:15:07,969 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 你说:1
2014-05-11 00:15:07,969 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 什么:0.97270054598908
2014-05-11 00:15:07,970 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 都是:0.984884645982498
2014-05-11 00:15:07,970 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 你的:0.988723731419785
2014-05-11 00:15:07,970 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 最终P=1
2014-05-11 00:15:07,971 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - -----------垃圾的微博------------
2014-05-11 00:15:07,973 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 觉得:0.923076923076923
2014-05-11 00:15:07,974 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 在这:0.986607142857143
2014-05-11 00:15:07,975 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 这个:0.980877879182964
2014-05-11 00:15:07,975 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 没有:0.983660130718954
2014-05-11 00:15:07,976 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 突然:0.942528735632184
2014-05-11 00:15:07,977 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 都没:0.982456140350877
2014-05-11 00:15:07,977 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 或者:0.976190476190476
2014-05-11 00:15:07,978 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 怎么:0.986005089058524
2014-05-11 00:15:07,978 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 就是:0.983535868286946
2014-05-11 00:15:07,979 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 只有:0.95729537366548
2014-05-11 00:15:07,979 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 知道:0.983375959079284
2014-05-11 00:15:07,980 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 道你:1
2014-05-11 00:15:07,981 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 心里:0.965811965811966
2014-05-11 00:15:07,981 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 那个:0.971014492753623
2014-05-11 00:15:07,982 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 东西:0.978401727861771
2014-05-11 00:15:07,982 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 希望:0.971698113207547
2014-05-11 00:15:07,983 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 大的:0.981845688350983
2014-05-11 00:15:07,983 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 我在:0.75
2014-05-11 00:15:07,984 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 最终P=1
2014-05-11 00:15:07,984 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - -----------垃圾的微博------------
2014-05-11 00:15:07,985 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 一个:0.9770887166236
2014-05-11 00:15:07,985 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 在乎:0.995391705069124
2014-05-11 00:15:07,986 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 我的:0.988649940262843
2014-05-11 00:15:07,986 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 的人:0.979166666666667
2014-05-11 00:15:07,987 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 最终P=0.999999973483304
2014-05-11 00:15:07,987 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - -----------垃圾的微博------------
2014-05-11 00:15:07,988 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 你还:0.995967741935484
2014-05-11 00:15:07,988 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 还没:0.996168582375479
2014-05-11 00:15:07,989 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 没有:0.983666061705989
2014-05-11 00:15:07,989 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 快来:0.932960893854749
2014-05-11 00:15:07,990 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 我的:0.98865671641791
2014-05-11 00:15:07,990 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 最终P=0.999999999786828
2014-05-11 00:15:07,990 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - -----------垃圾的微博------------
2014-05-11 00:15:07,991 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 手机:0.914754098360656
2014-05-11 00:15:07,992 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 可以:0.992862076905365
2014-05-11 00:15:07,992 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 必备:0.992619926199262
2014-05-11 00:15:07,993 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 地址:0.989993328885924
2014-05-11 00:15:07,994 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 最终P=0.99999994965143
2014-05-11 00:15:07,994 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - -----------垃圾的微博------------
2014-05-11 00:15:07,995 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 这个:0.980886185925282
2014-05-11 00:15:07,995 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 最终P=0.980886185925282
2014-05-11 00:15:07,996 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - -----------垃圾的微博------------
2014-05-11 00:15:07,997 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 好的:0.967071057192374
2014-05-11 00:15:07,998 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 是你:0.986984815618221
2014-05-11 00:15:07,999 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 男人:0.998581560283688
2014-05-11 00:15:07,999 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 看到:0.973684210526316
2014-05-11 00:15:08,000 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 世界:0.957725947521866
